elapsed_seconds,aggregate_compiler_rss_bytes,active_compilers
31.797,4808818688,4
31.852,5054365696,4
31.906,5341528064,4
31.961,5546754048,4
32.017,5718327296,4
32.072,5739167744,4
32.127,5766840320,4
32.180,5810765824,4
32.235,5840027648,4
32.289,5860753408,4
32.345,5896945664,4
32.400,5948817408,4
32.455,5970444288,4
32.511,5983289344,4
32.566,5989957632,4
32.621,6000508928,4
32.677,6004539392,4
32.731,6010781696,4
32.787,6013386752,4
32.837,6019645440,4
32.890,3001991168,4
32.946,3005186048,2
33.001,3011575808,4
33.056,3154771968,4
33.110,3213312000,4
33.165,3265036288,4
33.218,3310649344,4
33.273,3352887296,4
33.328,3391668224,4
33.384,3430006784,4
33.438,3463708672,4
33.491,3493199872,4
33.546,1986461696,4
33.598,2014445568,3
33.655,2045673472,4
33.706,2139717632,4
33.761,2199617536,4
33.816,2246475776,4
33.871,2291499008,4
33.927,2337325056,4
33.982,2386051072,4
34.035,2422767616,4
34.090,2464120832,4
34.145,2498641920,4
34.198,2650406912,4
34.253,2888843264,4
34.308,3136012288,4
34.359,3323838464,4
34.414,3357327360,4
34.469,3580149760,4
34.522,2320564224,4
34.578,2564931584,3
34.634,2851684352,4
34.689,2997436416,4
34.745,3283501056,4
34.798,3578822656,4
34.853,3833970688,4
34.908,3905011712,4
34.964,3960504320,4
35.015,4057645056,4
35.070,4120952832,4
35.124,4160487424,4
35.180,4231872512,4
35.235,4277846016,4
35.290,4303060992,4
35.345,4317331456,4
35.400,4339826688,4
35.455,4356816896,4
35.511,4380442624,4
35.564,4394991616,4
35.620,4411228160,4
35.675,4428005376,4
35.730,4452270080,4
35.785,4467261440,4
35.840,4477468672,4
35.891,4492476416,4
35.943,4503568384,4
35.998,4655726592,4
36.053,3513073664,4
36.109,3757129728,3
36.166,3992944640,4
36.221,4098064384,4
36.272,2895413248,4
36.328,2949775360,3
36.384,3009249280,4
36.439,3125772288,4
36.490,3178594304,4
36.545,3274113024,4
36.598,3329556480,4
36.653,3370057728,4
36.706,3411214336,4
36.761,3444867072,4
36.814,3478306816,4
36.870,3515351040,4
36.922,3543662592,4
36.977,3582164992,4
37.031,3607150592,4
37.083,3628498944,4
37.134,3651026944,4
37.185,3672817664,4
37.239,3694460928,4
37.295,3721019392,4
37.349,3933454336,4
37.402,4187258880,4
37.456,4395581440,4
37.511,4495835136,4
37.566,4523343872,4
37.622,4560764928,4
37.677,4746608640,4
37.731,4961140736,4
37.786,5208129536,4
37.841,5485821952,4
37.896,5502074880,4
37.948,5532483584,4
38.003,5569167360,4
38.058,4055236608,4
38.114,4082925568,3
38.171,4120543232,4
38.227,4244193280,4
38.282,4285677568,4
38.334,4318396416,4
38.389,4347723776,4
38.444,4374675456,4
38.498,4394958848,4
38.553,4418142208,4
38.608,4434690048,4
38.664,4454629376,4
38.719,4472963072,4
38.774,4494426112,4
38.830,4513169408,4
38.885,4528275456,4
38.939,4546035712,4
38.995,4568727552,4
39.048,4589404160,4
39.103,4601757696,4
39.158,4613210112,4
39.214,4625465344,4
39.269,3319316480,4
39.324,3330572288,3
39.381,3340976128,4
39.431,3426385920,4
39.486,3479257088,4
39.539,3514220544,4
39.591,3543891968,4
39.646,3571662848,4
39.700,3793633280,4
39.755,4042293248,4
39.811,2805760000,4
39.865,3070672896,3
39.922,3099459584,4
39.977,3218931712,4
40.033,3287777280,4
40.085,3351855104,4
40.141,3409149952,4
40.196,3451322368,4
40.251,3543334912,4
40.307,3588866048,4
40.362,3620651008,4
40.417,3655696384,4
40.472,3682189312,4
