elapsed_seconds,aggregate_compiler_rss_bytes,active_compilers
40.778,5987581952,4
40.838,6013927424,4
40.895,6031769600,4
40.955,6059884544,4
41.015,6082445312,4
41.070,6505627648,4
41.130,7366410240,4
41.186,8247328768,4
41.245,9180872704,4
41.305,9498279936,4
41.365,9532653568,4
41.426,9584672768,4
41.486,9812295680,4
41.546,9971531776,4
41.603,10015014912,4
41.663,7700152320,4
41.723,7834943488,3
41.782,7911374848,4
41.839,8006369280,4
41.897,8064516096,4
41.956,8098381824,4
42.011,8131772416,4
42.072,8160673792,4
42.132,8186675200,4
42.190,8213823488,4
42.245,8237973504,4
42.305,8259158016,4
42.364,8282193920,4
42.422,8302837760,4
42.478,8320319488,4
42.538,8352022528,4
42.597,8367636480,4
42.656,8381759488,4
42.716,5664440320,4
42.777,5678153728,3
42.838,5691965440,4
42.898,5790007296,4
42.958,5839634432,4
43.019,5885231104,4
43.079,5929844736,4
43.136,5959876608,4
43.196,5989138432,4
43.253,6015303680,4
43.313,6043402240,4
43.370,3463921664,4
43.423,3484811264,4
43.484,3507994624,3
43.537,3528736768,4
43.595,3628810240,4
43.655,3729784832,4
43.714,975323136,4
43.770,1014071296,3
43.832,1055293440,4
43.892,1179713536,4
43.952,1252098048,4
44.013,1314160640,4
44.073,1373831168,4
44.128,1779056640,4
44.188,2268528640,4
44.243,2855534592,4
44.295,3208101888,4
44.355,3295215616,4
44.414,3354132480,4
44.470,3425402880,4
44.530,3608330240,4
44.590,3668754432,4
44.644,3720953856,4
44.705,3797598208,4
44.765,3893657600,4
44.825,3935158272,4
44.886,3977117696,4
44.943,4018880512,4
45.003,4050436096,4
45.063,4085137408,4
45.123,4113498112,4
45.184,4156653568,4
45.244,4660723712,4
45.303,5137989632,4
45.363,5721112576,4
45.420,3279028224,4
45.480,3302342656,3
45.542,3346251776,4
45.602,3530178560,4
45.661,4031283200,4
45.721,4464885760,4
45.773,4949934080,4
45.828,5442306048,4
45.888,5588287488,4
45.944,5648384000,4
46.005,5710364672,4
46.065,5884428288,4
46.125,6373621760,4
46.178,6749470720,4
46.236,7278018560,4
46.296,7792312320,4
46.356,7885160448,4
46.411,7920254976,4
46.471,7961149440,4
46.531,8104820736,4
46.591,8182562816,4
46.644,8218476544,4
46.705,8248557568,4
46.761,8331804672,4
46.821,8382070784,4
46.882,8402763776,4
46.936,8425783296,4
46.996,8440856576,4
47.057,8458387456,4
47.116,8476672000,4
47.171,8489172992,4
47.232,8502542336,4
47.292,8517763072,4
47.346,8527560704,4
47.402,8539078656,4
47.461,8551972864,4
47.521,8565014528,4
47.582,8578613248,4
47.636,8587608064,4
47.697,9008693248,4
47.753,9372925952,4
47.813,9897312256,4
47.869,10196975616,4
47.930,10252763136,4
47.986,10277552128,4
48.046,10343530496,4
48.106,10512465920,4
48.164,7779614720,4
48.223,5017550848,3
48.284,5060395008,3
48.346,5211308032,4
48.406,5337956352,4
48.466,5411504128,4
48.519,5464784896,4
48.580,5512429568,4
48.640,5555191808,4
48.697,5597986816,4
48.758,3088760832,4
48.813,3116908544,3
48.869,3144777728,4
48.929,3272491008,4
48.986,685981696,4
49.047,741310464,3
49.109,792330240,4
49.169,919175168,4
49.219,990937088,4
49.280,1057947648,4
49.340,1117044736,4
49.400,1176633344,4
49.460,1231142912,4
49.514,1282310144,4
49.575,1688879104,4
49.635,2131034112,4
49.693,2531573760,4
49.753,2579496960,4
49.813,2639462400,4
49.868,2800123904,4
49.928,2869919744,4
49.986,2923102208,4
50.044,3010134016,4
50.104,3052748800,4
50.164,3087876096,4
50.220,3128262656,4
50.276,3160948736,4
50.337,3190587392,4
50.397,3220865024,4
50.454,3248340992,4
50.514,3276144640,4
50.574,3305701376,4
50.635,3336568832,4
50.696,1623916544,3
50.754,2134573056,4
50.811,2776449024,4
50.871,3372335104,4
50.931,3900702720,4
50.991,4357160960,4
51.045,4873125888,4
51.105,5345181696,4
51.164,5445468160,4
51.219,5506072576,4
51.280,5613846528,4
51.340,5828476928,4
51.396,5898223616,4
51.457,5947408384,4
51.511,6027493376,4
51.571,6108413952,4
51.631,6141263872,4
51.689,6173229056,4
51.747,6193971200,4
51.803,6213353472,4
51.863,6234554368,4
51.923,6255296512,4
